"","p.value","-log10(p)","FDR","Tukey's HSD","vip"
"MZ_734.5616",2.353e-08,7.6284,4.0603e-08,"region_11-region_8; region_11-region_1; region_11-region_2; region_11-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_9-region_5; region_13-region_9",0.1072
"MZ_265.9601",2.3532e-08,7.6283,4.0603e-08,"region_5-region_8; region_13-region_8; region_5-region_1; region_13-region_1; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.391
"MZ_846.5259",2.3809e-08,7.6233,4.1072e-08,"region_4-region_8; region_3-region_1; region_4-region_1; region_11-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_4-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",0.7072
"MZ_719.9561",2.3943e-08,7.6208,4.1293e-08,"region_11-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.648
"MZ_688.3909",2.3958e-08,7.6206,4.131e-08,"region_10-region_8; region_10-region_1; region_5-region_3; region_13-region_3; region_10-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_9-region_5; region_13-region_9",0.2107
"MZ_837.6619",2.4093e-08,7.6181,4.1534e-08,"region_11-region_1; region_11-region_2; region_9-region_2; region_11-region_3; region_7-region_11; region_4-region_11; region_5-region_11; region_13-region_11; region_9-region_7; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.009383
"MZ_782.5668",2.4337e-08,7.6137,4.1946e-08,"region_4-region_1; region_10-region_1; region_4-region_2; region_10-region_2; region_4-region_11; region_10-region_11; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10",0.3491
"MZ_851.6290",2.4561e-08,7.6097,4.2323e-08,"region_12-region_8; region_12-region_1; region_12-region_2; region_5-region_11; region_12-region_7; region_12-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.1646
"PI_33:1_822.5258_[M]+",2.4983e-08,7.6024,4.3035e-08,"region_11-region_8; region_4-region_8; region_11-region_2; region_4-region_2; region_11-region_3; region_4-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_4; region_5-region_4; region_9-region_4; region_13-region_4",0.8401
"MZ_688.0080",2.4986e-08,7.6023,4.3035e-08,"region_3-region_8; region_3-region_1; region_10-region_1; region_11-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_10; region_9-region_10; region_13-region_10",0.4929
"MZ_757.5496",2.5114e-08,7.6001,4.3247e-08,"region_10-region_1; region_10-region_2; region_5-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.05317
"MZ_666.0270",2.5558e-08,7.5925,4.4001e-08,"region_3-region_1; region_4-region_1; region_12-region_1; region_11-region_3; region_7-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_12-region_11; region_5-region_4; region_13-region_4; region_12-region_5; region_13-region_12",0.06903
"MZ_782.5607",2.5711e-08,7.5899,4.4255e-08,"region_11-region_8; region_11-region_1; region_11-region_2; region_11-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11",0.609
"MZ_719.9530",2.5734e-08,7.5895,4.4286e-08,"region_1-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_12-region_5; region_13-region_12",0.537
"MZ_472.1057",2.5783e-08,7.5887,4.436e-08,"region_4-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_11-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.3574
"MZ_455.0035",2.5797e-08,7.5884,4.4373e-08,"region_12-region_8; region_10-region_1; region_12-region_1; region_12-region_2; region_10-region_11; region_12-region_11; region_12-region_7; region_12-region_4; region_12-region_5; region_9-region_12; region_13-region_12",0.8481
"MZ_327.0495",2.5843e-08,7.5877,4.4443e-08,"region_2-region_8; region_2-region_1; region_7-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_7-region_11; region_5-region_7",0.5826
"MZ_703.9832",2.592e-08,7.5864,4.4566e-08,"region_3-region_1; region_12-region_1; region_9-region_1; region_11-region_3; region_7-region_3; region_5-region_3; region_13-region_3; region_12-region_11; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.2516
"MZ_562.3222",2.6514e-08,7.5765,4.5577e-08,"region_11-region_8; region_11-region_1; region_5-region_2; region_13-region_2; region_5-region_3; region_7-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_5-region_4; region_13-region_4; region_9-region_5",0.658
"MZ_846.5376",2.663e-08,7.5746,4.5766e-08,"region_4-region_1; region_4-region_2; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10",0.8104
"MZ_380.1323",2.6837e-08,7.5713,4.6113e-08,"region_5-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_9-region_3; region_9-region_11; region_9-region_7; region_5-region_4; region_13-region_4; region_9-region_10; region_9-region_5; region_9-region_12; region_13-region_9",0.5671
"MZ_688.0081",2.7137e-08,7.5664,4.6618e-08,"region_3-region_1; region_10-region_1; region_10-region_2; region_11-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_9-region_10; region_13-region_10",0.2504
"MZ_808.5766",2.7197e-08,7.5655,4.671e-08,"region_3-region_8; region_3-region_1; region_5-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3",1.161
"MZ_380.1360",2.7613e-08,7.5589,4.7414e-08,"region_3-region_1; region_10-region_1; region_11-region_3; region_7-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_5-region_10; region_13-region_10; region_12-region_5",0.03767
"MZ_688.3870",2.7629e-08,7.5586,4.7432e-08,"region_10-region_8; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.7105
"MZ_476.9856",2.78e-08,7.556,4.7715e-08,"region_1-region_8; region_11-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_11-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_13-region_10; region_13-region_12",0.1677
"MZ_846.5251",2.8527e-08,7.5447,4.8952e-08,"region_4-region_1; region_4-region_2; region_4-region_3; region_4-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_12-region_5",0.1276
"MZ_534.2898",2.9123e-08,7.5358,4.9963e-08,"region_11-region_8; region_11-region_1; region_11-region_2; region_11-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11",0.3365
"MZ_772.5278",2.9616e-08,7.5285,5.0799e-08,"region_1-region_8; region_11-region_8; region_5-region_8; region_13-region_8; region_10-region_1; region_5-region_3; region_10-region_11; region_10-region_7; region_5-region_10; region_9-region_10; region_13-region_10",0.5971
"MZ_265.9600",2.9716e-08,7.527,5.0959e-08,"region_5-region_8; region_13-region_8; region_5-region_1; region_13-region_1; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.469
"MZ_798.5415",3.0017e-08,7.5226,5.1463e-08,"region_3-region_1; region_11-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.4207
"MZ_331.0833",3.0927e-08,7.5097,5.3012e-08,"region_3-region_1; region_10-region_1; region_11-region_3; region_7-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_5-region_10; region_12-region_10; region_13-region_10; region_9-region_5",0.103
"MZ_493.9589",3.1021e-08,7.5083,5.3162e-08,"region_5-region_1; region_13-region_1; region_4-region_2; region_5-region_3; region_13-region_3; region_4-region_11; region_4-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_9-region_5",0.9181
"MZ_853.6543",3.1296e-08,7.5045,5.362e-08,"region_5-region_8; region_10-region_1; region_5-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12",0.1192
"MZ_176.8746",3.2186e-08,7.4923,5.5134e-08,"region_13-region_8; region_13-region_1; region_13-region_2; region_13-region_3; region_13-region_11; region_13-region_7; region_13-region_4; region_13-region_10; region_13-region_5; region_13-region_12; region_13-region_9",0.6809
"MZ_827.5603",3.2721e-08,7.4852,5.6028e-08,"region_1-region_8; region_4-region_8; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_5-region_4; region_9-region_4; region_13-region_4",1.45
"MZ_688.0095",3.2723e-08,7.4852,5.6028e-08,"region_3-region_1; region_10-region_1; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_10; region_13-region_10",0.637
"MZ_783.5615",3.291e-08,7.4827,5.6336e-08,"region_11-region_8; region_11-region_1; region_11-region_2; region_11-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11",0.6577
"MZ_780.5426",3.3898e-08,7.4698,5.8015e-08,"region_11-region_8; region_11-region_1; region_11-region_2; region_11-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11",0.4134
"MZ_845.5298",3.4197e-08,7.466,5.8514e-08,"region_3-region_1; region_10-region_1; region_10-region_2; region_11-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_9-region_10; region_13-region_10",0.01454
"MZ_742.5240",3.4332e-08,7.4643,5.8733e-08,"region_3-region_8; region_3-region_1; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3",1.205
"MZ_417.0487",3.4946e-08,7.4566,5.9769e-08,"region_3-region_1; region_10-region_1; region_12-region_1; region_10-region_2; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.03319
"MZ_846.5268",3.5007e-08,7.4559,5.9861e-08,"region_4-region_1; region_10-region_1; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.2886
"MZ_796.5151",3.5632e-08,7.4482,6.0917e-08,"region_11-region_8; region_5-region_1; region_13-region_1; region_11-region_2; region_5-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_12-region_11; region_13-region_11",1.214
"MZ_845.5195",3.7703e-08,7.4236,6.4443e-08,"region_1-region_8; region_7-region_8; region_5-region_8; region_13-region_8; region_12-region_1; region_5-region_4; region_13-region_4; region_12-region_5; region_13-region_12",0.5808
"MZ_493.9621",3.7918e-08,7.4212,6.4797e-08,"region_3-region_1; region_10-region_1; region_11-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_5-region_10; region_13-region_10",0.1445
"MZ_719.9499",3.849e-08,7.4146,6.576e-08,"region_11-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_4-region_3; region_4-region_11; region_10-region_4; region_5-region_4; region_13-region_4",1.292
"MZ_719.9521",3.9328e-08,7.4053,6.7176e-08,"region_1-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_5-region_4",1.166
"MZ_846.5276",3.9373e-08,7.4048,6.7239e-08,"region_4-region_8; region_4-region_1; region_5-region_3; region_5-region_11; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.3932
"MZ_439.0301",3.9798e-08,7.4001,6.795e-08,"region_3-region_1; region_10-region_1; region_12-region_1; region_5-region_3; region_13-region_3; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.1251
"MZ_799.5330",3.9831e-08,7.3998,6.7992e-08,"region_11-region_8; region_5-region_1; region_13-region_1; region_11-region_2; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4",0.8472
"MZ_851.6294",3.9843e-08,7.3996,6.7997e-08,"region_11-region_1; region_12-region_1; region_5-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_13-region_11; region_12-region_7; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.006596
"MZ_719.9573",4.0398e-08,7.3936,6.8929e-08,"region_3-region_8; region_3-region_1; region_10-region_1; region_3-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_10; region_13-region_10",0.2389
