"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"MSI02344",81.248,103.932,80.674,62.942,1.007,0.01,0.979,0.986,0.012,0.014
"MSI02345",38.582,50.076,117.291,191.217,0.329,-1.604,0.0278,0.128,0.964,0.305
"MSI02346",33.479,56.628,130.806,226.92,0.256,-1.966,0.0218,0.108,1.004,0.289
"U [M+NH4]+",65.293,74.113,182.032,345.506,0.359,-1.479,0.0664,0.219,0.81,0.216
"MSI02348",97.392,145.163,99.252,165.753,0.981,-0.027,0.962,0.975,0.021,0.007
"MSI02349",57.133,75.502,125.713,260.283,0.454,-1.138,0.157,0.332,0.627,0.173
"phenylhydrazine [M+H]+",60.508,74.601,85.581,115.881,0.707,-0.5,0.307,0.475,0.454,0.108
"MSI02351",122.286,165.5,71.004,57.49,1.722,0.784,0.103,0.273,0.722,-0.21
"MSI02352",85.848,144.504,175.721,339.729,0.489,-1.033,0.173,0.35,0.604,0.165
"MSI02353",61.2,28.019,397.915,181.31,0.154,-2.701,3.43e-15,2.29e-13,2.794,0.803
"3-aminopropane-1-thiol [M+NH4]+",112.024,159.191,183.266,589.648,0.611,-0.71,0.512,0.634,0.293,0.086
"MSI02355",67.691,81.073,152.317,372.872,0.444,-1.17,0.214,0.392,0.552,0.164
"MSI02356",64.417,78.942,152.317,372.872,0.423,-1.242,0.197,0.374,0.573,0.17
"MSI02357",88.574,153.486,158.758,514.128,0.558,-0.842,0.462,0.596,0.328,0.1
"MSI02358",44.782,52.18,130.882,253.227,0.342,-1.547,0.0643,0.216,0.816,0.239
"MSI02359",82.395,126.683,85.375,129.39,0.965,-0.051,0.926,0.948,0.041,-0.013
"Propenoate [M+K]+",64.329,111.523,71.457,41.511,0.9,-0.152,0.736,0.809,0.151,0.031
"MSI02361",70.785,82.866,143.069,257.239,0.495,-1.015,0.135,0.309,0.662,0.184
"MSI02362",110.648,138.319,149.674,323.37,0.739,-0.436,0.533,0.65,0.279,0.083
"MIT [M+K]+",127.908,147.492,341.584,705.291,0.374,-1.417,0.0985,0.269,0.731,0.193
"MSI02364",129.89,162.265,181.403,573.182,0.716,-0.482,0.626,0.726,0.217,0.049
"MSI02365",70.976,88.506,110.654,173.603,0.641,-0.641,0.254,0.428,0.507,0.14
"MSI02366",61.707,84.995,71.848,47.546,0.859,-0.22,0.558,0.669,0.262,0.079
"MSI02367",51.18,63.034,193.327,372.866,0.265,-1.917,0.0375,0.155,0.914,0.267
"MSI02368",77.851,108.55,134.075,319.165,0.581,-0.784,0.349,0.508,0.417,0.122
"MSI02369",58.814,90.695,84.774,81.711,0.694,-0.527,0.234,0.408,0.53,0.154
"Bis(chloromethyl) ether [M]+",68.181,107.954,70.023,47.349,0.974,-0.038,0.93,0.951,0.039,0.04
"MSI02371",67.793,108.025,80.233,86.245,0.845,-0.243,0.613,0.715,0.226,0.09
"MSI02372",102.468,137.419,123.21,330.107,0.832,-0.266,0.744,0.814,0.146,0.034
"MSI02373",67.683,79.048,70.125,46.843,0.965,-0.051,0.881,0.915,0.067,0.018
"MSI02374",114.414,132.385,67.199,43.469,1.703,0.768,0.0599,0.21,0.829,-0.24
"MSI02375",93.552,121.045,67.199,43.469,1.392,0.477,0.251,0.424,0.511,-0.154
"Phosphorothioic acid [M+H]+",148.944,190.433,215.931,338.27,0.69,-0.536,0.333,0.496,0.431,0.121
"MSI02377",64.124,115.777,60.54,28.497,1.059,0.083,0.866,0.904,0.076,0.001
"MSI02378",103.296,150.887,162.495,392.539,0.636,-0.654,0.429,0.576,0.353,0.072
"MSI02379",123.453,162.837,91.817,129.033,1.345,0.427,0.392,0.545,0.381,-0.104
"MSI02380",96.897,145.799,137.22,325.977,0.706,-0.502,0.525,0.645,0.284,0.085
"MSI02381",94.788,138.055,166.475,398.191,0.569,-0.813,0.34,0.501,0.425,0.117
"MSI02382",93.074,136.309,159.57,396.355,0.583,-0.778,0.373,0.53,0.397,0.112
"MSI02383",89.923,117.239,150.218,323.938,0.599,-0.74,0.326,0.489,0.437,0.125
"MSI02384",66.397,96.889,126.24,169.569,0.526,-0.927,0.088,0.252,0.754,0.204
"MSI02385",64.597,77.387,102.111,111.416,0.633,-0.661,0.123,0.297,0.683,0.168
"MSI02386",1584.52,105.986,302.214,664.326,5.243,2.39,7.49e-16,7.64e-14,2.831,-0.817
"MSI02387",61.118,61.297,129.169,155.538,0.473,-1.08,0.0247,0.118,0.984,0.279
"MSI02388",70.931,108.799,118.051,269.509,0.601,-0.735,0.363,0.518,0.406,0.099
"MSI02389",61.81,82.098,121.522,226.065,0.509,-0.975,0.165,0.341,0.616,0.153
"MSI02390",73.026,104.332,152.5,240.241,0.479,-1.062,0.0911,0.258,0.747,0.225
"MSI02391",42.942,61.103,80.784,59.936,0.532,-0.912,0.015,0.0801,1.061,0.3
"MSI02392",48.199,65.374,80.784,59.936,0.597,-0.745,0.0418,0.166,0.895,0.252
"MSI02393",92.968,114.098,182.738,318.018,0.509,-0.975,0.138,0.311,0.657,0.192
"MSI02394",81.196,99.89,201.929,427.852,0.402,-1.314,0.125,0.298,0.679,0.19
"1,2,3,4-tetrazine [M+K]+",70.076,105.119,142.182,306.519,0.493,-1.021,0.213,0.391,0.554,0.142
"&beta [M+NH4]+",78.91,114.877,142.182,306.519,0.555,-0.849,0.278,0.449,0.482,0.121
"MSI02397",124.052,174.516,153.866,356.716,0.806,-0.311,0.673,0.761,0.189,0.047
"MSI02398",135.581,142.526,105.818,210.846,1.281,0.358,0.511,0.634,0.294,-0.071
"MSI02399",85.44,118.071,135.553,277.55,0.63,-0.666,0.351,0.509,0.416,0.131
"MSI02400",52.495,80.231,197.05,406.742,0.266,-1.908,0.053,0.194,0.852,0.255
"MSI02401",54.49,69.643,237.038,336.336,0.23,-2.121,0.00381,0.0244,1.251,0.368
"MSI02402",74.542,88.912,128.4,221.836,0.581,-0.785,0.207,0.385,0.56,0.142
"MSI02403",52.71,70.623,106.032,193.559,0.497,-1.008,0.148,0.322,0.641,0.194
"MSI02404",73.288,119.505,71.337,46.18,1.027,0.039,0.932,0.952,0.038,-0.022
"MSI02405",85.104,140.521,100.325,150.699,0.848,-0.237,0.677,0.765,0.186,0.038
"MSI02406",108.063,138.596,124.414,244.498,0.869,-0.203,0.743,0.814,0.146,0.032
"Octylamine [M]+",98.675,143.367,98.347,193.91,1.003,0.005,0.994,0.996,0.003,-0.006
"MSI02408",65.413,110.073,150.385,328.301,0.435,-1.201,0.17,0.346,0.609,0.197
"MSI02409",90.862,150.72,62.576,42.816,1.452,0.538,0.311,0.477,0.451,-0.127
"MSI02410",85.272,155.399,109.868,210.119,0.776,-0.366,0.596,0.702,0.236,0.086
"MSI02411",64.461,101.276,81.143,80.625,0.794,-0.332,0.469,0.6,0.323,0.096
"Curry red [M+H-2H2O]+",4266.461,285.376,3309.961,2746.697,1.289,0.366,0.0546,0.198,0.847,-0.24
"(6E,8E,11E)-N-[(2S,3R,4E,14Z)-1,3-dihydroxyoctad... [M]+",15.214,13.587,57.434,22.916,0.265,-1.917,8.53e-13,2.84e-11,2.634,0.749
"Antibiotic TA [M]+",36.226,38.96,70.689,52.008,0.512,-0.964,0.00388,0.0248,1.248,0.353
"Diglyceride [M+H-H2O]+",184.689,82.651,91.758,159.745,2.013,1.009,0.00484,0.0302,1.22,-0.348
"MSI02416",51.011,79.43,138.443,321.294,0.368,-1.44,0.14,0.313,0.654,0.192
"MSI02417",414.011,111.324,67.349,41.605,6.147,2.62,2.31e-24,7.71e-22,3.164,-0.91
"Lecithin [M+H]+_7",21.58,53.208,115.996,337.341,0.186,-2.426,0.123,0.297,0.683,0.204
"MSI02419",62.393,90.604,84.745,81.565,0.736,-0.442,0.304,0.471,0.458,0.143
"Dichlorofluoromethane [M]+",70.955,76.801,156.2,281.559,0.454,-1.138,0.104,0.274,0.72,0.207
"MSI02421",95.29,97.282,164.032,297.421,0.581,-0.784,0.219,0.397,0.547,0.149
"MSI02422",73.935,93.487,156.067,299.301,0.474,-1.078,0.143,0.316,0.648,0.179
"MSI02423",68.047,90.499,112.056,218.577,0.607,-0.72,0.297,0.466,0.464,0.126
"MSI02424",145.583,171.361,87.952,69.858,1.655,0.727,0.0831,0.245,0.766,-0.216
"So [M]+",71.508,88.512,144.253,265.163,0.496,-1.012,0.146,0.319,0.644,0.182
"MSI02426",74.784,92.692,158.911,330.096,0.471,-1.087,0.17,0.346,0.609,0.166
"MSI02427",56.771,65.952,139.262,259.426,0.408,-1.295,0.0862,0.25,0.758,0.211
"MSI02428",58.27,69.6,146.116,270.267,0.399,-1.326,0.0799,0.24,0.773,0.216
"MSI02429",74.834,98.815,103.95,144.811,0.72,-0.474,0.351,0.509,0.415,0.128
"MSI02430",93.846,150.004,61.095,31.715,1.536,0.619,0.231,0.406,0.532,-0.145
"MSI02431",79.72,119.632,97.398,118.817,0.818,-0.289,0.555,0.667,0.263,0.076
"MSI02432",78.774,119.826,97.398,118.817,0.809,-0.306,0.535,0.65,0.277,0.08
"MSI02433",43.175,76.61,139.745,318.822,0.309,-1.694,0.101,0.27,0.726,0.202
"MSI02434",91.943,129.283,125.482,176.783,0.733,-0.449,0.39,0.543,0.383,0.106
"MSI02435",110.763,148.286,135.277,172.827,0.819,-0.288,0.545,0.659,0.27,0.06
"MSI02436",68.08,89.798,229.426,439.599,0.297,-1.753,0.0462,0.177,0.877,0.24
"MSI02437",66.431,97.859,138.155,328.201,0.481,-1.056,0.241,0.415,0.522,0.155
"MSI02438",67.12,95.21,135.499,314.862,0.495,-1.014,0.244,0.417,0.518,0.147
"MSI02439",80.141,98.317,112.857,215.274,0.71,-0.494,0.437,0.581,0.346,0.078
"MSI02440",64.633,103.477,121.721,275.35,0.531,-0.913,0.277,0.447,0.484,0.13
"MSI02441",81,141.11,226.281,492.989,0.358,-1.482,0.114,0.287,0.699,0.198
"MSI02442",60.413,27.596,397.915,181.31,0.152,-2.72,3.09e-15,2.14e-13,2.796,0.804
"MSI02443",77.563,103.993,121.03,282.788,0.641,-0.642,0.418,0.568,0.361,0.103
"MSI02444",85.979,117.989,195.896,370.704,0.439,-1.188,0.115,0.288,0.698,0.184
"1-Vinyl-2-pyrrolidone [M]+",88.344,125.408,85.351,129.395,1.035,0.05,0.925,0.948,0.042,-0.03
"MSI02446",101.227,149.893,196.968,463.878,0.514,-0.96,0.271,0.443,0.49,0.137
"MSI02447",116.082,163.032,165.789,387.657,0.7,-0.514,0.506,0.631,0.297,0.088
"(S)-1-pyrroline-5-carboxylate [M-H2O+NH4]+",96.652,131.28,263.9,489.389,0.366,-1.449,0.0666,0.219,0.809,0.219
"MSI02449",85.89,99.85,184.551,450.087,0.465,-1.103,0.231,0.406,0.533,0.146
"MSI02450",96.34,120.851,147.857,233.54,0.652,-0.618,0.272,0.443,0.489,0.141
"105-60-2 [M]+",106.626,147.648,82.425,98.253,1.294,0.371,0.443,0.584,0.342,-0.097
"MSI02452",108.664,166.715,145.976,443.098,0.744,-0.426,0.657,0.75,0.198,0.065
"cis-Acetylacrylate [M]+",79.224,115.328,73.173,80.036,1.083,0.115,0.808,0.865,0.108,-0.008
"MSI02454",65.54,75.112,88.763,120.515,0.738,-0.438,0.359,0.515,0.409,0.122
"MSI02455",111.877,127.912,67.199,43.469,1.665,0.735,0.0661,0.219,0.81,-0.234
"MSI02456",144.358,186.152,63.547,34.311,2.272,1.184,0.0187,0.0969,1.028,-0.306
"MSI02457",108.542,143.297,164.883,295.125,0.658,-0.603,0.335,0.497,0.429,0.115
"MSI02458",49.617,81.057,141.364,300.347,0.351,-1.51,0.1,0.27,0.727,0.216
"MSI02459",77.358,113.293,193.464,460.624,0.4,-1.322,0.171,0.347,0.607,0.182
"MSI02460",67.204,121.671,86.684,147.792,0.775,-0.367,0.567,0.676,0.256,0.085
"MSI02461",34.867,39.663,73.087,71.322,0.477,-1.068,0.0102,0.0572,1.118,0.311
"MSI02462",1319.039,88.228,588.022,1276.334,2.243,1.165,0.00197,0.0136,1.331,-0.378
"142-62-1 [M]+",1255.822,84,507.421,1005.452,2.475,1.307,8.81e-05,0.000846,1.649,-0.469
"Trimethylsulfonium [M+K]+",1674.429,112,574.577,1232.562,2.914,1.543,4.52e-06,5.28e-05,1.887,-0.537
"Fe(CN)3 [M+H-H2O]+",53.442,103.227,155.458,328.461,0.344,-1.54,0.0988,0.269,0.73,0.186
"L-2-Amino-3-oxobutanoic acid [M]+",43.22,66.641,130.576,251.726,0.331,-1.595,0.0624,0.215,0.822,0.215
"MSI02467",65.665,96.677,109.858,134.438,0.598,-0.742,0.136,0.31,0.66,0.181
"N-Trifluoromethylimidosulfurous difluoride [M+H-2H2O]+",45.743,87.051,95.66,112.453,0.478,-1.064,0.0515,0.19,0.857,0.255
"MSI02469",59.002,60.17,148.134,210.656,0.398,-1.328,0.0247,0.119,0.984,0.275
"MSI02470",74.213,119.206,123.835,211.176,0.599,-0.739,0.251,0.425,0.51,0.159
"sulfate [M+H-H2O]+",55.736,79.613,117.891,233.77,0.473,-1.081,0.16,0.334,0.624,0.173
"MSI02472",66.32,124.155,220.147,444.138,0.301,-1.731,0.0639,0.216,0.817,0.253
"MSI02473",40.541,54.92,198.499,373.192,0.204,-2.292,0.021,0.106,1.01,0.306
"MSI02474",49.375,65.589,126.225,286.669,0.391,-1.354,0.144,0.318,0.647,0.188
"MSI02475",105.241,169.94,157.628,451.641,0.668,-0.583,0.541,0.657,0.273,0.081
"MSI02476",72.838,113.493,107.785,122.384,0.676,-0.565,0.241,0.415,0.522,0.148
"MSI02477",69.32,114.542,93.684,116.822,0.74,-0.435,0.403,0.555,0.373,0.099
"MSI02478",62.932,83.983,79.821,57.95,0.788,-0.343,0.353,0.51,0.414,0.12
"MSI02479",123.679,174.068,167.658,357.367,0.738,-0.439,0.534,0.65,0.278,0.072
"MSI02480",126.18,140.628,120.099,289.979,1.051,0.071,0.915,0.94,0.048,-0.004
"MSI02481",74.139,136.929,306.642,458.838,0.242,-2.048,0.00787,0.0463,1.155,0.322
"Sodium thiosulfate [M+H-2H2O]+",56.633,72.721,237.488,253.866,0.238,-2.068,0.000261,0.00231,1.548,0.462
"MSI02483",67.253,125.525,149.714,501.444,0.449,-1.155,0.37,0.527,0.399,0.104
"MSI02484",60.515,71.477,80.578,91.746,0.751,-0.413,0.333,0.496,0.431,0.114
"MSI02485",92.327,128.527,98.899,198.673,0.934,-0.099,0.876,0.911,0.07,0.044
"MSI02486",57.601,95.933,108.163,202.871,0.533,-0.909,0.207,0.385,0.56,0.185
"MSI02487",87.525,154.27,199.598,450.981,0.439,-1.189,0.188,0.367,0.584,0.166
"carbonate [M]+",75.249,118.438,174.22,437.771,0.432,-1.211,0.222,0.4,0.543,0.14
"Tetramethylammonium borohydride [M+K]+",112.555,159.386,128.523,343.397,0.876,-0.191,0.812,0.868,0.106,0.043
"MSI02490",111.703,159.908,67.832,45.393,1.647,0.72,0.141,0.314,0.653,-0.173
"MSI02491",75.493,139.228,154.132,329.613,0.49,-1.03,0.218,0.397,0.547,0.161
"MSI02492",105.14,136.72,104.196,173.458,1.009,0.013,0.981,0.988,0.011,-0.031
"MSI02493",58.524,106.59,204.035,433.383,0.287,-1.802,0.0699,0.223,0.8,0.236
"56-12-2 [M+Na]+",90.951,154.423,61.908,36.094,1.469,0.555,0.304,0.472,0.457,-0.136
"MSI02495",94.605,141.497,119.165,182.281,0.794,-0.333,0.549,0.663,0.267,0.068
"MSI02496",67.371,95.368,154.173,378.277,0.437,-1.194,0.213,0.391,0.553,0.163
"MSI02497",75.134,101.733,185.496,410.639,0.405,-1.304,0.145,0.318,0.646,0.187
"Disodium cyanodithioimidocarbamate [M+H-2H2O]+",56.047,63.398,99.363,183.268,0.564,-0.826,0.211,0.39,0.556,0.16
"MSI02499",68.726,81.269,82.534,101.887,0.833,-0.264,0.551,0.664,0.266,0.101
"SCHE [M]+",93.493,125.717,210.18,443.308,0.445,-1.169,0.157,0.332,0.628,0.178
"MSI02501",106.697,138.991,119.038,244.941,0.896,-0.158,0.805,0.862,0.11,0.026
"MSI02502",66.304,102.26,103.368,168.526,0.641,-0.641,0.292,0.461,0.469,0.146
"(R)-2-Aminohexano-6-lactam [M]+",65.18,106.41,113.994,163.797,0.572,-0.806,0.162,0.338,0.62,0.168
"MSI02504",59.161,110.688,179.379,562.184,0.33,-1.6,0.24,0.414,0.523,0.147
"2,2-Dichloro-1,1-ethanediol [M]+",86.449,107.992,165.178,255.902,0.523,-0.934,0.114,0.287,0.7,0.193
"MSI02506",66.76,124.947,149.074,410.282,0.448,-1.159,0.282,0.452,0.479,0.146
"MSI02507",43.169,73.578,76.866,101.14,0.562,-0.832,0.133,0.307,0.666,0.204
"MSI02508",54.529,121.26,61.068,33.505,0.893,-0.163,0.77,0.833,0.131,0.039
"N-Methylpyridinium [M+K]+",74.502,97.584,85.074,93.014,0.876,-0.191,0.659,0.752,0.197,0.053
"MSI02510",60.96,102.205,108.867,207.64,0.56,-0.837,0.246,0.419,0.516,0.151
"MSI02511",57.116,122.253,204.509,562.761,0.279,-1.84,0.153,0.327,0.634,0.194
"MSI02512",45.32,101.415,204.509,562.761,0.222,-2.174,0.12,0.294,0.688,0.21
"MSI02513",56.352,98.82,135.801,303.92,0.415,-1.269,0.165,0.34,0.616,0.19
"MSI02514",69.761,114.767,222.567,608.984,0.313,-1.674,0.168,0.343,0.612,0.179
"Bromochloronitromethane [M+H-2H2O]+",40.864,55.032,144.628,302.564,0.283,-1.823,0.0609,0.212,0.826,0.239
"MSI02516",45.372,68.462,91.218,139.729,0.497,-1.008,0.101,0.27,0.726,0.215
"MSI02517",63.119,88.639,72.236,48.692,0.874,-0.195,0.612,0.714,0.227,0.07
"MSI02518",92.637,134.296,184.437,453.958,0.502,-0.993,0.277,0.447,0.484,0.137
"monofluoromethylputrescine [M+K]+",2250.962,150.835,2165.807,3393.083,1.039,0.056,0.888,0.92,0.063,-0.011
"MSI02520",291.231,138.188,61.847,23.807,4.709,2.235,2.74e-13,1.01e-11,2.67,-0.77
"taurolithocholate [M-H2O+NH4]+",216.634,82.196,63.243,35.341,3.425,1.776,4.81e-14,2.29e-12,2.722,-0.786
"MSI02522",101.18,12.102,149.802,172.687,0.675,-0.566,0.117,0.29,0.694,0.214
"MSI02523",52.325,64.424,57.434,22.916,0.911,-0.134,0.674,0.763,0.188,0.044
"MSI02524",74.142,102.371,93.384,105.828,0.794,-0.333,0.463,0.596,0.328,0.098
"MSI02525",120.462,127.675,224.07,464.838,0.538,-0.895,0.229,0.405,0.535,0.15
"Met [M]+",71.55,76.385,159.529,280.923,0.449,-1.157,0.0924,0.26,0.744,0.212
"MSI02527",101.496,135.41,158.078,335.143,0.642,-0.639,0.379,0.534,0.392,0.104
"MSI02528",102.73,135.383,157.87,340.999,0.651,-0.62,0.399,0.551,0.376,0.101
"MSI02529",118.692,130.385,129.217,223.461,0.919,-0.123,0.819,0.873,0.102,0.035
"MSI02530",107.218,127.192,190.901,415.567,0.562,-0.832,0.28,0.45,0.48,0.127
"MSI02531",101.651,151.426,85.319,65.777,1.191,0.253,0.578,0.686,0.248,-0.065
"MSI02532",57.382,68.093,103.117,194.821,0.556,-0.846,0.215,0.392,0.551,0.163
"MSI02533",100.441,138.225,145.192,360.355,0.692,-0.532,0.514,0.636,0.291,0.092
"MSI02534",59.155,72.008,124.491,202.647,0.475,-1.073,0.0907,0.257,0.748,0.214
"MSI02535",83.628,103.511,104.494,144.103,0.8,-0.321,0.508,0.632,0.295,0.092
"MSI02536",43.999,62.136,115.389,191.653,0.381,-1.391,0.0494,0.184,0.865,0.272
"MSI02537",83.527,123.796,121.387,170.108,0.688,-0.539,0.313,0.479,0.45,0.131
"MSI02538",59.865,83.228,229.426,439.599,0.261,-1.938,0.036,0.151,0.921,0.252
"MSI02539",50.774,70.167,125.476,259.903,0.405,-1.305,0.122,0.296,0.686,0.198
"MSI02540",60.869,81.434,129.769,260.052,0.469,-1.092,0.158,0.333,0.627,0.177
"MSI02541",60.703,87.762,127.754,289.752,0.475,-1.073,0.215,0.393,0.551,0.153
"MSI02542",55.252,70.167,82.292,67.769,0.671,-0.575,0.122,0.296,0.685,0.195
"MSI02543",65.107,82.756,82.264,64.304,0.791,-0.337,0.358,0.515,0.41,0.126
"MSI02544",84.739,99.458,89.221,117.476,0.95,-0.074,0.87,0.907,0.073,0.003
"MSI02545",101.258,126.828,71.004,57.49,1.426,0.512,0.224,0.401,0.541,-0.164
"MSI02546",90.804,121.336,121.721,275.35,0.746,-0.423,0.563,0.673,0.258,0.065
"MSI02547",89.625,122.614,131.53,288.706,0.681,-0.553,0.453,0.59,0.335,0.1
"MSI02548",82.918,115.001,108.063,142.9,0.767,-0.382,0.441,0.584,0.344,0.076
"dehydroglycine [M+K]+",47.143,90.426,71.457,41.511,0.66,-0.6,0.172,0.348,0.606,0.165
"pentane [M+K]+",94.003,139.514,199.566,471.66,0.471,-1.086,0.229,0.405,0.534,0.15
"MSI02551",66.857,89.795,144.039,289.022,0.464,-1.107,0.154,0.328,0.632,0.177
"MSI02552",56.55,89.542,214.484,478.618,0.264,-1.923,0.0713,0.225,0.796,0.223
"MSI02553",107.841,139.789,161.228,338.999,0.669,-0.58,0.413,0.564,0.365,0.097
"MSI02554",109.083,138.985,155.921,338.558,0.7,-0.515,0.472,0.603,0.321,0.086
"MSI02555",107.398,133.084,147.317,311.47,0.729,-0.456,0.507,0.631,0.296,0.088
"1,2-Dichloropropane [M]+",67.665,118.306,209.583,502.657,0.323,-1.631,0.125,0.298,0.679,0.188
"MSI02557",80.35,99.751,125.57,312.509,0.64,-0.644,0.438,0.582,0.346,0.094
"MSI02558",63.562,73.194,153.919,330.341,0.413,-1.276,0.136,0.31,0.661,0.176
"MSI02559",65.425,82.454,156.901,329.369,0.417,-1.262,0.133,0.307,0.666,0.192
"MSI02560",45.413,58.861,146.868,308.623,0.309,-1.693,0.0726,0.227,0.792,0.227
"2-Amino-4-chloro-4-pentenoic acid [M+H-2H2O]+",67.965,107.506,73.173,80.036,0.929,-0.107,0.827,0.878,0.098,0.048
"MSI02562",119.519,149.997,77.38,68.363,1.545,0.627,0.153,0.327,0.633,-0.195
"MSI02563",92.048,138.881,107.232,165.008,0.858,-0.22,0.692,0.775,0.177,0.051
"MSI02564",69.68,78.403,91.343,122.144,0.763,-0.391,0.402,0.554,0.374,0.11
"MSI02565",74.765,108.766,123.394,268.382,0.606,-0.723,0.346,0.504,0.42,0.136
"MSI02566",82.577,113.141,119.759,268.966,0.69,-0.536,0.474,0.605,0.32,0.107
"MSI02567",95.296,143.039,117.441,248.773,0.811,-0.301,0.664,0.754,0.194,0.066
"MSI02568",51.944,71.558,82.516,122.192,0.63,-0.668,0.227,0.404,0.537,0.133
"sulfuric acid [M+NH4]+",1440.985,96.385,616.176,1321.288,2.339,1.226,0.00081,0.00618,1.432,-0.417
"MSI02570",51.288,60.108,156.714,309.047,0.327,-1.611,0.0629,0.215,0.82,0.243
"MSI02571",43.346,45.676,139.349,232.977,0.311,-1.685,0.0256,0.122,0.978,0.28
"MSI02572",60.843,77.273,118.316,287.805,0.514,-0.959,0.279,0.45,0.481,0.127
"MSI02573",46.107,60.374,72.015,43.539,0.64,-0.643,0.0534,0.195,0.85,0.248
"MSI02574",49.198,87.633,155.458,328.461,0.316,-1.66,0.0819,0.243,0.768,0.196
"MSI02575",66.488,93.85,87.496,139.547,0.76,-0.396,0.482,0.613,0.313,0.098
"MSI02576",107.427,128.38,167.594,300.067,0.641,-0.642,0.301,0.47,0.46,0.122
"MSI02577",73.388,125.182,176.669,339.277,0.415,-1.267,0.111,0.284,0.705,0.212
"Pyrimidine [M+K]+",42.216,81.376,169.697,393.071,0.249,-2.007,0.0773,0.236,0.78,0.248
"2-methyl-3-pentyl-4,5-dihydro-3H-pyrrole [M+H-2H2O]+",42.724,81.22,126.632,318.532,0.337,-1.567,0.154,0.328,0.632,0.21
"Benzamidine [M]+",99.348,123.409,136.665,413.715,0.727,-0.46,0.627,0.726,0.217,0.068
"MSI02581",72.871,112.528,102.224,121.553,0.713,-0.488,0.32,0.484,0.443,0.126
"MSI02582",45.92,72.812,98.673,119.057,0.465,-1.103,0.0364,0.153,0.919,0.252
"MSI02583",58.768,96.844,98.673,119.057,0.596,-0.748,0.146,0.319,0.644,0.179
"MSI02584",76.896,90.057,95.592,104.69,0.804,-0.314,0.447,0.586,0.339,0.088
"MSI02585",125.714,173.533,167.658,357.367,0.75,-0.415,0.553,0.665,0.265,0.069
"MSI02586",123.678,174.068,165.601,357.853,0.747,-0.421,0.553,0.666,0.265,0.068
"MSI02587",113.136,131.072,94.437,97.231,1.198,0.261,0.519,0.64,0.288,-0.074
"MSI02588",44.605,69.354,154.318,283.222,0.289,-1.791,0.0373,0.154,0.915,0.252
"MSI02589",70.004,129.923,174.48,370.973,0.401,-1.317,0.138,0.311,0.658,0.178
"MSI02590",44.184,70.531,169.952,401.727,0.26,-1.944,0.0861,0.249,0.758,0.207
"MSI02591",71.027,86.644,129.298,218.147,0.549,-0.864,0.165,0.341,0.616,0.16
"MSI02592",86.352,131.916,105.85,193.348,0.816,-0.294,0.639,0.738,0.209,0.037
"Ethyl methanesulfonate [M+H]+",62.632,79.972,98.521,132.404,0.636,-0.654,0.194,0.373,0.576,0.168
"MSI02594",53.818,105.419,168.996,365.435,0.318,-1.651,0.0917,0.259,0.745,0.223
"MSI02595",45.147,93.874,191.686,357.962,0.236,-2.086,0.0287,0.13,0.959,0.28
"MSI02596",80.694,126.119,126.564,197.306,0.638,-0.649,0.272,0.443,0.489,0.14
"MSI02597",79.197,90.522,121.571,244.643,0.651,-0.618,0.362,0.518,0.406,0.106
"MSI02598",61.018,98.968,100.361,168.34,0.608,-0.718,0.259,0.431,0.502,0.162
"MSI02599",77.705,130.559,162.126,500.431,0.479,-1.061,0.359,0.516,0.408,0.114
"MSI02600",80.032,124.337,194.317,391.098,0.412,-1.28,0.12,0.294,0.688,0.199
"MSI02601",80.036,124.335,192.351,390.667,0.416,-1.265,0.126,0.299,0.677,0.195
"MSI02602",49.57,89.727,67.43,43.905,0.735,-0.444,0.316,0.482,0.447,0.124
"MSI02603",88.227,132.962,130.271,310.31,0.677,-0.562,0.484,0.613,0.312,0.101
"Desflurane [M+H-2H2O]+",138.094,146.499,153.61,399.833,0.899,-0.154,0.837,0.885,0.092,0.023
"Sulfuryl chloride [M]+",53.563,79.077,106.71,259.476,0.502,-0.994,0.272,0.443,0.489,0.144
"MSI02606",93.529,127.095,114.136,220.311,0.819,-0.287,0.648,0.744,0.204,0.045
"MSI02607",67.654,141.935,180.624,395.453,0.375,-1.417,0.133,0.307,0.665,0.194
"MSI02608",58.523,80.708,129.28,253.983,0.453,-1.143,0.138,0.311,0.657,0.203
"MSI02609",63.124,95.096,72.236,48.692,0.874,-0.195,0.631,0.731,0.214,0.066
"593-79-3 [M+K]+",108.104,129.556,100.627,127.624,1.074,0.103,0.817,0.871,0.104,-0.031
"1,3,7-Trimethyluric acid [M+H]+",29.401,55.69,91.769,90.042,0.32,-1.642,0.00146,0.0105,1.366,0.397
"Potassium disulfite [M]+",23.521,40.69,102.12,139.301,0.23,-2.118,0.00323,0.0211,1.271,0.383
"3 [M]+",42.277,79.279,57.434,22.916,0.736,-0.442,0.303,0.471,0.459,0.14
"MSI02614",159.082,102.561,57.434,22.916,2.77,1.47,8.52e-07,1.11e-05,2.001,-0.591
"Triacylglycerol [M-H2O+NH4]+_1",48.479,55.373,57.434,22.916,0.844,-0.245,0.401,0.553,0.374,0.102
"MSI02616",59.373,77.599,116.881,214.735,0.508,-0.977,0.159,0.334,0.624,0.18
